Date,Open,High,Low,Close,Adj Close,Volume
2022-10-01,1.1800,1.3000,0.9800,1.1400,1.1400,28181000
2022-11-01,1.1600,1.4500,1.0700,1.4000,1.4000,34023600
2022-12-01,1.3900,1.6000,1.2100,1.4700,1.4700,30516600
2023-01-01,1.4900,1.9000,1.4600,1.7700,1.7700,25779100
2023-02-01,1.7500,1.8500,1.5400,1.7100,1.7100,26087500
2023-03-01,1.7700,1.8400,1.4000,1.6600,1.6600,31900000
2023-04-01,1.7000,1.7900,1.5900,1.6500,1.6500,18806200
2023-05-01,1.6400,1.7100,1.1800,1.2300,1.2300,20916700
2023-06-01,1.2500,1.5000,1.2300,1.4300,1.4300,19246500 
2023-07-01,1.4400,1.5500,1.3400,1.5200,1.5200,17001100 
2023-08-01,1.4900,1.4900,1.2700,1.4300,1.4300,15656300 
2023-09-01,1.4400,1.6000,1.2300,1.2700,1.2700,23672200
2023-10-01,1.2600,1.2600,1.0500,1.0800,1.0800,14526700 
2023-11-01,1.1000,1.3900,1.0600,1.1900,1.1900,13979600
2023-12-01,1.2000,1.5000,1.1500,1.4000,1.4000,20380200
2024-01-01,1.3900,1.5800,1.2700,1.4800,1.4800,27925900
2024-02-01,1.4900,1.5700,1.3300,1.5500,1.5500,18407500
2024-03-01,1.5700,2.2500,1.5000,2.1700,2.1700,56381700
2024-04-01,2.2100,2.7100,2.1500,2.4600,2.4600,74684800
2024-05-01,2.5000,3.1500,2.3400,2.7600,2.7600,86811600
2024-06-01,2.7200,2.7300,2.2400,2.4500,2.4500,67134600
2024-07-01,2.4800,2.6700,2.0300,2.1900,2.1900,58127100
2024-08-01,2.2300,2.3400,1.8100,2.2600,2.2600,60890000
2024-09-01,2.1800,2.6500,1.8800,2.5200,2.5200,65543600
2024-10-01,2.5200,2.6700,2.1900,2.2300,2.2300,72019800